Unnamed: 0,Date,Rented Bike Count,Hour,Temperature(C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Holiday,Functioning Day,Seasons_Autumn,Seasons_Spring,Seasons_Summer,Seasons_Winter
404,17/12/2017,166,20,-6.0,42,0.8,2000,-16.8,0.0,0.0,0.0,1,1,0,0,0,1
407,17/12/2017,138,23,-6.9,53,0.7,2000,-14.8,0.0,0.0,0.0,1,1,0,0,0,1
412,18/12/2017,29,4,-5.4,81,0.7,270,-8.1,0.0,0.0,0.7,1,1,0,0,0,1
416,18/12/2017,146,8,-4.6,86,1.2,508,-6.5,0.0,0.0,2.0,1,1,0,0,0,1
417,18/12/2017,52,9,-4.3,89,1.0,59,-5.8,0.0,1.6,4.0,1,1,0,0,0,1
423,18/12/2017,137,15,1.6,73,0.9,421,-2.7,0.6,0.0,3.2,1,1,0,0,0,1
432,19/12/2017,122,0,-1.0,73,2.3,881,-5.2,0.0,0.0,2.6,1,1,0,0,0,1
433,19/12/2017,122,1,-2.0,72,0.8,979,-6.3,0.0,0.0,2.6,1,1,0,0,0,1
434,19/12/2017,93,2,-2.7,72,0.9,990,-7.0,0.0,0.0,2.6,1,1,0,0,0,1
437,19/12/2017,55,5,-3.9,66,0.7,1209,-9.3,0.0,0.0,2.6,1,1,0,0,0,1
445,19/12/2017,189,13,-2.2,25,3.2,1970,-19.6,1.17,0.0,2.2,1,1,0,0,0,1
448,19/12/2017,211,16,-1.8,31,3.1,1993,-16.7,0.56,0.0,2.0,1,1,0,0,0,1
469,20/12/2017,228,13,-1.3,43,1.0,1777,-12.3,0.8,0.0,1.7,1,1,0,0,0,1
484,21/12/2017,58,4,-3.6,91,1.2,241,-4.8,0.0,0.0,2.2,1,1,0,0,0,1
494,21/12/2017,255,14,4.3,47,2.3,953,-6.0,0.96,0.0,1.6,1,1,0,0,0,1
497,21/12/2017,366,17,2.9,60,1.3,1193,-4.1,0.16,0.0,0.8,1,1,0,0,0,1
508,22/12/2017,64,4,-0.3,76,0.9,760,-4.0,0.0,0.0,0.7,0,1,0,0,0,1
510,22/12/2017,114,6,-0.1,71,0.8,895,-4.7,0.0,0.0,0.7,0,1,0,0,0,1
523,22/12/2017,481,19,5.2,64,0.7,691,-1.0,0.0,0.0,0.0,0,1,0,0,0,1
537,23/12/2017,239,9,5.2,84,0.7,226,2.7,0.03,0.0,0.0,1,1,0,0,0,1
542,23/12/2017,405,14,8.6,63,1.6,263,1.9,0.72,0.0,0.0,1,1,0,0,0,1
551,23/12/2017,237,23,5.5,80,0.6,185,2.3,0.0,0.0,0.0,1,1,0,0,0,1
560,24/12/2017,4,8,4.6,91,1.7,95,3.2,0.0,0.0,0.0,0,1,0,0,0,1
571,24/12/2017,132,19,1.1,68,4.4,695,-4.1,0.0,0.0,0.0,0,1,0,0,0,1
573,24/12/2017,145,21,0.4,69,3.5,477,-4.6,0.0,0.0,0.0,0,1,0,0,0,1
580,25/12/2017,72,4,-3.0,51,3.2,2000,-11.7,0.0,0.0,0.0,0,1,0,0,0,1
586,25/12/2017,133,10,-3.7,35,3.7,1937,-16.9,0.57,0.0,0.0,0,1,0,0,0,1
591,25/12/2017,319,15,0.4,28,2.5,2000,-16.0,0.9,0.0,0.0,0,1,0,0,0,1
592,25/12/2017,272,16,0.4,27,2.0,2000,-16.4,0.58,0.0,0.0,0,1,0,0,0,1
595,25/12/2017,184,19,-1.8,41,2.1,2000,-13.3,0.0,0.0,0.0,0,1,0,0,0,1
604,26/12/2017,49,4,-2.6,72,1.4,1929,-6.9,0.0,0.0,0.0,1,1,0,0,0,1
606,26/12/2017,120,6,-2.8,73,0.7,1906,-6.9,0.0,0.0,0.0,1,1,0,0,0,1
611,26/12/2017,250,11,-2.1,28,4.9,1887,-18.2,0.87,0.0,0.0,1,1,0,0,0,1
612,26/12/2017,262,12,-1.3,23,4.0,2000,-19.8,1.09,0.0,0.0,1,1,0,0,0,1
623,26/12/2017,156,23,-7.5,37,3.1,2000,-19.7,0.0,0.0,0.0,1,1,0,0,0,1
625,27/12/2017,142,1,-8.2,39,1.8,2000,-19.7,0.0,0.0,0.0,1,1,0,0,0,1
626,27/12/2017,93,2,-8.6,37,1.5,2000,-20.7,0.0,0.0,0.0,1,1,0,0,0,1
631,27/12/2017,262,7,-10.1,38,2.3,2000,-21.7,0.0,0.0,0.0,1,1,0,0,0,1
640,27/12/2017,269,16,-3.2,23,2.7,2000,-21.4,0.57,0.0,0.0,1,1,0,0,0,1
644,27/12/2017,262,20,-5.9,34,0.9,2000,-19.2,0.0,0.0,0.0,1,1,0,0,0,1
645,27/12/2017,242,21,-6.4,34,1.2,2000,-19.7,0.0,0.0,0.0,1,1,0,0,0,1
647,27/12/2017,216,23,-6.3,39,0.9,2000,-18.0,0.0,0.0,0.0,1,1,0,0,0,1
650,28/12/2017,163,2,-6.6,34,1.8,2000,-19.8,0.0,0.0,0.0,1,1,0,0,0,1
656,28/12/2017,554,8,-4.7,30,0.6,2000,-19.6,0.0,0.0,0.0,1,1,0,0,0,1
659,28/12/2017,288,11,-2.1,34,1.0,1868,-15.8,0.65,0.0,0.0,1,1,0,0,0,1
662,28/12/2017,311,14,0.8,55,1.8,1132,-7.2,0.59,0.0,0.0,1,1,0,0,0,1
673,29/12/2017,269,1,0.3,63,0.7,760,-5.9,0.0,0.0,0.0,1,1,0,0,0,1
691,29/12/2017,395,19,2.7,68,1.2,348,-2.6,0.0,0.0,0.0,1,1,0,0,0,1
697,30/12/2017,234,1,-0.5,83,0.7,244,-3.0,0.0,0.0,0.0,1,1,0,0,0,1
699,30/12/2017,127,3,-1.1,83,0.8,237,-3.6,0.0,0.0,0.0,1,1,0,0,0,1
705,30/12/2017,224,9,0.2,76,1.3,249,-3.5,0.03,0.0,0.0,1,1,0,0,0,1
707,30/12/2017,237,11,2.0,69,1.0,257,-3.1,0.32,0.0,0.0,1,1,0,0,0,1
714,30/12/2017,45,18,3.0,84,1.7,137,0.5,0.0,0.3,0.0,1,1,0,0,0,1
732,31/12/2017,209,12,1.4,47,4.5,1388,-8.7,1.1,0.0,1.0,0,1,0,0,0,1
734,31/12/2017,262,14,3.0,28,3.8,1956,-13.7,1.1,0.0,0.0,0,1,0,0,0,1
736,31/12/2017,272,16,2.7,26,2.7,2000,-14.9,0.59,0.0,0.0,0,1,0,0,0,1
739,31/12/2017,163,19,0.0,31,2.2,2000,-15.1,0.0,0.0,0.0,0,1,0,0,0,1
740,31/12/2017,161,20,-1.0,32,0.9,2000,-15.6,0.0,0.0,0.0,0,1,0,0,0,1
741,31/12/2017,179,21,-1.6,35,1.0,2000,-15.1,0.0,0.0,0.0,0,1,0,0,0,1
742,31/12/2017,155,22,-2.1,36,1.7,2000,-15.2,0.0,0.0,0.0,0,1,0,0,0,1
750,1/1/2018,65,6,-4.5,51,1.1,2000,-13.1,0.0,0.0,0.0,0,1,0,0,0,1
755,1/1/2018,169,11,0.1,27,2.2,1874,-16.7,0.84,0.0,0.0,0,1,0,0,0,1
759,1/1/2018,344,15,3.0,27,2.9,1715,-14.2,0.78,0.0,0.0,0,1,0,0,0,1
761,1/1/2018,271,17,1.8,33,3.3,1913,-12.8,0.18,0.0,0.0,0,1,0,0,0,1
765,1/1/2018,203,21,-0.9,44,1.2,1871,-11.6,0.0,0.0,0.0,0,1,0,0,0,1
769,2/1/2018,108,1,-2.1,56,0.8,1732,-9.7,0.0,0.0,0.0,1,1,0,0,0,1
770,2/1/2018,69,2,-2.3,62,0.9,1560,-8.6,0.0,0.0,0.0,1,1,0,0,0,1
785,2/1/2018,373,17,0.3,27,2.6,2000,-16.5,0.18,0.0,0.0,1,1,0,0,0,1
790,2/1/2018,273,22,-3.4,33,2.4,2000,-17.4,0.0,0.0,0.0,1,1,0,0,0,1
797,3/1/2018,67,5,-6.4,47,2.4,1981,-15.8,0.0,0.0,0.0,1,1,0,0,0,1
798,3/1/2018,137,6,-6.7,48,2.4,1991,-15.9,0.0,0.0,0.0,1,1,0,0,0,1
801,3/1/2018,342,9,-6.8,44,1.7,1858,-17.0,0.16,0.0,0.0,1,1,0,0,0,1
804,3/1/2018,297,12,-3.4,32,3.1,1706,-17.7,1.02,0.0,0.0,1,1,0,0,0,1
807,3/1/2018,286,15,-1.1,29,2.8,1976,-16.9,0.96,0.0,0.0,1,1,0,0,0,1
808,3/1/2018,299,16,-0.4,30,2.0,2000,-15.9,0.62,0.0,0.0,1,1,0,0,0,1
814,3/1/2018,291,22,-5.2,53,1.3,1969,-13.3,0.0,0.0,0.0,1,1,0,0,0,1
823,4/1/2018,302,7,-8.1,51,0.5,1987,-16.4,0.0,0.0,0.0,1,1,0,0,0,1
824,4/1/2018,646,8,-8.6,55,0.6,1984,-16.0,0.0,0.0,0.0,1,1,0,0,0,1
827,4/1/2018,264,11,-4.4,40,0.8,1671,-16.0,0.69,0.0,0.0,1,1,0,0,0,1
833,4/1/2018,397,17,-2.1,37,1.4,1591,-14.8,0.09,0.0,0.0,1,1,0,0,0,1
848,5/1/2018,665,8,-5.3,51,1.0,1319,-13.8,0.0,0.0,0.0,1,1,0,0,0,1
851,5/1/2018,308,11,-0.7,45,1.5,1429,-11.1,0.76,0.0,0.0,1,1,0,0,0,1
858,5/1/2018,635,18,-1.8,44,2.2,1709,-12.4,0.01,0.0,0.0,1,1,0,0,0,1
877,6/1/2018,356,13,0.9,28,2.4,1895,-15.6,1.18,0.0,0.0,1,1,0,0,0,1
881,6/1/2018,354,17,1.1,31,1.7,1989,-14.1,0.26,0.0,0.0,1,1,0,0,0,1
887,6/1/2018,169,23,-3.2,50,0.8,1429,-12.1,0.0,0.0,0.0,1,1,0,0,0,1
894,7/1/2018,38,6,-5.5,52,0.7,1503,-13.8,0.0,0.0,0.0,1,1,0,0,0,1
901,7/1/2018,265,13,1.4,34,0.8,1394,-12.7,0.5,0.0,0.0,1,1,0,0,0,1
903,7/1/2018,368,15,2.7,31,0.9,1603,-12.7,0.43,0.0,0.0,1,1,0,0,0,1
907,7/1/2018,246,19,1.6,35,1.0,1419,-12.2,0.0,0.0,0.0,1,1,0,0,0,1
911,7/1/2018,149,23,1.1,39,0.6,1422,-11.3,0.0,0.0,0.0,1,1,0,0,0,1
928,8/1/2018,353,16,3.5,36,1.7,1702,-10.2,0.16,0.0,0.0,1,1,0,0,0,1
941,9/1/2018,52,5,-5.1,48,3.2,1821,-14.4,0.0,0.0,0.9,1,1,0,0,0,1
945,9/1/2018,320,9,-6.0,61,2.5,1547,-12.3,0.13,0.0,0.6,1,1,0,0,0,1
947,9/1/2018,247,11,-3.9,51,4.5,1746,-12.5,0.73,0.0,0.5,1,1,0,0,0,1
956,9/1/2018,302,20,-4.9,59,0.6,1992,-11.6,0.0,0.0,0.0,1,1,0,0,0,1
957,9/1/2018,281,21,-4.8,59,0.9,2000,-11.6,0.0,0.0,0.0,1,1,0,0,0,1
960,10/1/2018,61,0,-5.2,82,0.8,152,-7.7,0.0,0.5,0.5,1,1,0,0,0,1
967,10/1/2018,158,7,-8.0,70,1.8,2000,-12.5,0.0,0.0,0.7,1,1,0,0,0,1
973,10/1/2018,207,13,-5.1,43,4.7,1901,-15.7,1.18,0.0,0.4,1,1,0,0,0,1
974,10/1/2018,177,14,-5.3,37,5.3,2000,-17.7,1.05,0.0,0.3,1,1,0,0,0,1
1004,11/1/2018,177,20,-11.6,49,1.8,1953,-20.1,0.0,0.0,0.0,1,1,0,0,0,1
1007,11/1/2018,119,23,-13.2,51,1.5,1972,-21.2,0.0,0.0,0.0,1,1,0,0,0,1
1020,12/1/2018,178,12,-9.6,27,2.0,1945,-25.1,1.17,0.0,0.0,1,1,0,0,0,1
1024,12/1/2018,196,16,-5.8,21,1.1,2000,-24.6,0.66,0.0,0.0,1,1,0,0,0,1
1026,12/1/2018,405,18,-7.5,28,2.0,2000,-22.9,0.02,0.0,0.0,1,1,0,0,0,1
1028,12/1/2018,210,20,-7.9,31,1.4,2000,-22.1,0.0,0.0,0.0,1,1,0,0,0,1
1040,13/01/2018,67,8,-6.5,72,0.8,670,-10.7,0.0,0.0,0.2,1,1,0,0,0,1
1053,13/01/2018,156,21,-4.1,79,0.7,522,-7.2,0.0,0.0,0.0,1,1,0,0,0,1
1057,14/01/2018,150,1,-3.7,79,0.9,438,-6.8,0.0,0.0,0.0,1,1,0,0,0,1
1064,14/01/2018,81,8,-3.8,79,0.8,412,-6.9,0.0,0.0,0.0,1,1,0,0,0,1
1071,14/01/2018,353,15,4.6,50,0.9,824,-4.9,0.62,0.0,0.0,1,1,0,0,0,1
1076,14/01/2018,210,20,3.5,55,1.0,1100,-4.7,0.0,0.0,0.0,1,1,0,0,0,1
1080,15/01/2018,171,0,3.0,60,0.5,842,-4.0,0.0,0.0,0.0,1,1,0,0,0,1
1097,15/01/2018,455,17,6.5,40,0.8,804,-6.1,0.23,0.0,0.0,1,1,0,0,0,1
1102,15/01/2018,333,22,3.0,61,1.6,460,-3.8,0.0,0.0,0.0,1,1,0,0,0,1
1107,16/01/2018,81,3,0.3,70,0.6,438,-4.5,0.0,0.0,0.0,1,1,0,0,0,1
1111,16/01/2018,318,7,1.1,69,0.6,418,-3.9,0.0,0.0,0.0,1,1,0,0,0,1
1124,16/01/2018,332,20,4.5,58,0.8,383,-3.0,0.0,0.0,0.0,1,1,0,0,0,1
1125,16/01/2018,342,21,4.3,56,0.7,434,-3.7,0.0,0.0,0.0,1,1,0,0,0,1
1130,17/01/2018,140,2,3.1,65,0.8,310,-2.8,0.0,0.0,0.0,1,1,0,0,0,1
1131,17/01/2018,75,3,3.0,67,0.8,297,-2.5,0.0,0.0,0.0,1,1,0,0,0,1
1133,17/01/2018,72,5,2.9,66,0.8,325,-2.8,0.0,0.0,0.0,1,1,0,0,0,1
1134,17/01/2018,115,6,2.7,71,1.1,270,-2.0,0.0,0.0,0.0,1,1,0,0,0,1
1146,17/01/2018,501,18,5.2,62,2.9,503,-1.5,0.01,0.0,0.0,1,1,0,0,0,1
1152,18/01/2018,215,0,2.7,73,1.0,290,-1.6,0.0,0.0,0.0,1,1,0,0,0,1
1153,18/01/2018,190,1,3.2,72,1.9,306,-1.3,0.0,0.0,0.0,1,1,0,0,0,1
1154,18/01/2018,137,2,3.3,73,1.2,288,-1.0,0.0,0.0,0.0,1,1,0,0,0,1
1159,18/01/2018,279,7,1.5,86,1.1,189,-0.5,0.0,0.0,0.0,1,1,0,0,0,1
1162,18/01/2018,188,10,1.4,81,2.1,255,-1.5,0.21,0.0,0.0,1,1,0,0,0,1
1164,18/01/2018,267,12,2.5,72,2.4,256,-2.0,0.0,0.0,0.0,1,1,0,0,0,1
1166,18/01/2018,301,14,4.4,42,2.3,719,-7.4,0.72,0.0,0.0,1,1,0,0,0,1
1169,18/01/2018,416,17,2.8,46,2.1,858,-7.6,0.14,0.0,0.0,1,1,0,0,0,1
1178,19/01/2018,140,2,-0.3,44,1.7,1295,-11.1,0.0,0.0,0.0,1,1,0,0,0,1
1179,19/01/2018,93,3,-0.6,43,1.7,1316,-11.6,0.0,0.0,0.0,1,1,0,0,0,1
1181,19/01/2018,61,5,-1.4,47,1.4,1301,-11.2,0.0,0.0,0.0,1,1,0,0,0,1
1186,19/01/2018,255,10,0.0,29,1.3,1592,-15.9,0.52,0.0,0.0,1,1,0,0,0,1
1193,19/01/2018,468,17,4.1,34,3.1,1810,-10.3,0.28,0.0,0.0,1,1,0,0,0,1
1198,19/01/2018,292,22,0.0,56,0.8,1544,-7.7,0.0,0.0,0.0,1,1,0,0,0,1
1200,20/01/2018,228,0,-0.6,60,0.6,1433,-7.4,0.0,0.0,0.0,1,1,0,0,0,1
1207,20/01/2018,101,7,0.2,60,0.3,1145,-6.6,0.0,0.0,0.0,1,1,0,0,0,1
1208,20/01/2018,191,8,0.3,63,0.4,1140,-5.9,0.0,0.0,0.0,1,1,0,0,0,1
1218,20/01/2018,283,18,4.6,55,3.2,232,-3.6,0.03,0.0,0.0,1,1,0,0,0,1
1221,20/01/2018,220,21,2.1,48,2.8,346,-7.7,0.0,0.0,0.0,1,1,0,0,0,1
1227,21/01/2018,107,3,-2.0,60,0.5,474,-8.7,0.0,0.0,0.0,1,1,0,0,0,1
1228,21/01/2018,73,4,-2.3,47,0.7,984,-12.1,0.0,0.0,0.0,1,1,0,0,0,1
1229,21/01/2018,32,5,-2.6,49,1.1,1065,-11.8,0.0,0.0,0.0,1,1,0,0,0,1
1233,21/01/2018,152,9,-3.2,46,0.8,1091,-13.2,0.15,0.0,0.0,1,1,0,0,0,1
1241,21/01/2018,383,17,3.8,20,1.3,2000,-17.1,0.24,0.0,0.0,1,1,0,0,0,1
1249,22/01/2018,97,1,-0.2,32,0.7,2000,-14.9,0.0,0.0,0.0,1,1,0,0,0,1
1253,22/01/2018,60,5,0.0,32,0.7,2000,-14.7,0.0,0.0,0.0,1,1,0,0,0,1
1289,23/01/2018,239,17,-10.6,38,3.5,2000,-22.2,0.38,0.0,0.9,1,1,0,0,0,1
1291,23/01/2018,248,19,-12.0,47,3.2,2000,-21.0,0.0,0.0,0.9,1,1,0,0,0,1
1297,24/01/2018,89,1,-15.0,31,2.5,2000,-28.3,0.0,0.0,0.9,1,1,0,0,0,1
1305,24/01/2018,192,9,-15.8,27,3.4,2000,-30.5,0.2,0.0,0.9,1,1,0,0,0,1
1306,24/01/2018,90,10,-14.5,24,4.6,1902,-30.6,0.61,0.0,0.9,1,1,0,0,0,1
1307,24/01/2018,124,11,-13.1,25,3.8,1964,-29.0,0.96,0.0,0.9,1,1,0,0,0,1
1312,24/01/2018,124,16,-11.2,30,4.7,2000,-25.3,0.77,0.0,0.7,1,1,0,0,0,1
1316,24/01/2018,125,20,-14.3,37,1.3,2000,-25.8,0.0,0.0,0.7,1,1,0,0,0,1
1320,25/01/2018,78,0,-15.9,43,3.8,2000,-25.6,0.0,0.0,0.7,1,1,0,0,0,1
1321,25/01/2018,68,1,-16.1,42,2.2,2000,-26.0,0.0,0.0,0.7,1,1,0,0,0,1
1325,25/01/2018,34,5,-15.8,37,2.7,2000,-27.1,0.0,0.0,0.7,1,1,0,0,0,1
1333,25/01/2018,130,13,-11.4,27,3.9,2000,-26.7,1.26,0.0,0.6,1,1,0,0,0,1
1335,25/01/2018,130,15,-9.7,28,3.7,2000,-24.8,1.0,0.0,0.5,1,1,0,0,0,1
1337,25/01/2018,170,17,-10.9,32,4.0,2000,-24.4,0.28,0.0,0.5,1,1,0,0,0,1
1340,25/01/2018,141,20,-13.5,33,2.4,2000,-26.3,0.0,0.0,0.5,1,1,0,0,0,1
1344,26/01/2018,68,0,-15.1,34,1.7,2000,-27.4,0.0,0.0,0.5,1,1,0,0,0,1
